و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
سپس	ببخشود ایمانتان بودند می‌شود آنگاه می‌برد نطفه دیگران آفرید آغاز سویش تجاوز پیشامد واگذار نیکی
می‌کند	می‌کنیم می‌میراند صفات نکند دهد می‌بخشاید گرداند القا شود هولناک می‌بخشد توبه سنجیده‌کار می‌پذیرد پیچیده
باز	شدیم جدید اصرار آهنگ ناحق کج ناپسند کمتر کارهای آفرینشی عصیان اکنون معلوم کبر مبادرت
موسی	هارون برادرم ماجرای هود نوح عاد حکمت قارون اسباط برادرشان می‌گفت هامان عیسی اسرائیل نمی‌آورد
کار	ناپسند خوب هست کارهای داده_باشد کارشان وصف فرجام نیکویی بیمار پسندیده وصیت حسابش کارها وا
نزد	دانایی علم نیکوست والا فرستاده آگاهی گرویده‌اند پادشاهی مساجد دیوانه‌ای سپاس اطمینان بسوی عهدی بخواهم
دیگر	بعضی هشدارها خویشاوندی مخالف درجاتی سوگند سپس مثلی غرفه‌هایی اعراض پاره‌ای سودهایی مخوان زناشویی گرفتند
قوم	برادرشان شعیب سران لوط ثمود عاد نوح صالح درداد فرستادیم‌ اصحاب هود ایکه ماجرای فرعون
اینکه	خوشگذرانان فرستادگانی آنکه ندانستی می‌خوانید دلیلی اسرائیل تذکاری ملحق پذیرش آزمایشی بحق می‌گردانید نفرستادیم بهترند
چرا	آورده‌ایم اینک ملازم عده‌ای می‌دیدند زنهار پیشینیان نبود بلکه می‌باشند شنبه رسم صف نمی‌آورد اجر
همه	همگی شماره بسی مثل‌ها فرجام آوردند نمی‌کند رسیدن گردانیده قیامت بازمی‌گرداند سزای گردنکشی وقت آشکارا
نازل	بخوانی برده حکایت نشده_است زاده صحیفه‌های حرام تصدیق‌کننده عربی پندآموزی سوره‌ای رهنمود موجب نوشته آیاتی
حال	حالت محرمانه می‌ورزیدید مانع عبرتی بیماری مباشید خوشگذرانان بالا اما پذیرش گرفتند عذری برخیزند دیدار
یک	فرق ماترک حیوانی نوبت سوم نعمت‌های میوه‌ای حج فریاد خوراکی دوازده ماه شکافت نمی‌گذاریم عشیره
گونه	حد لی‌ جفت فرمانبردار اینان مردی بی‌هیچ تصدیق‌کننده می‌زند وسیله مده سان پرستندگان چنین فرقه
کفر	ورزیده‌اند ورزیدند می‌ورزند ابطال مکر سستی شرک مبادرت بگرداند اصرار کسانی‌اند بیماری بخل انگاشتند پیوست
راست	کدامند چپ یاران می‌گویید یابید صواب راهبری پیروزی گفته_شد سلامت راهنمایی سگشان بیاورید نورشان می‌گویی
آسمان	زهم آبی بنایی بشکافد کوه‌هایی طبقه گهواره‌ای ریزان زمین برمی‌انگیزد سپاهیانی بادها جنبنده‌ای آسمان‌ها ابری
حالی	افکندند حدس خشم زن مؤید گیرد می‌ستانند شمردند مردمی خالص سخنان دریغ استثنای صف بازگشتند
کرده‌اند	گرویده مؤمنانی شایسته کرده_بودند آورده انجام هدر ورزیده یکدیگرند نخواهند_کرد پاس حالشان می‌نمودند نموده‌اند همسرانشان
بدان	داده_شده_بودند دیدار فراموش قطعه حجت رسند اطمینان عهدی درهای آوردن دلهایشان می‌رساند مهر آیات نازل
سر	پیشی سرشان پسرانتان بالای آشامیدنی صبحگاهان روزگار آهنگ فروتن گوگردی کبر بزنید پرده‌ای طبقه آشکار
بخواهد	می‌بخشاید بیراه تواناست می‌گذارد بی‌راه خودش فرزند نمی‌دانید خواهد_به داشته_است آمرزنده گشایشگر گشاده توبه‌کار فروتر
جای	زن بسته‌اید امکانات می‌پرستند مگیرید شکر خودتان پی پرستش میانه آیندگان اختیار فرزندان حلال نگیرد
فرمان	امید فرستاده‌اش وعده‌ای بازپس شفاعت عصیان گرویدیم برگزید بربرید بیم پیامبرش تصمیم انجام‌شدنی اجابت پادشاهی
هنگامی	وقتی آنگاه ایوب فرعونیان زنی برادرشان یاد عاد اسرائیل همانان فرزندان باز خواهند_کرد جوان رسولانی
دست	راستش گرد بیراهه فروختند شماست شبانه ستمگرتر کمال می‌برم کارنامه‌اش پیشین ! هجرت کجا گمراه‌تر
کنند	پایداری بمیرید نمایند می‌خواهند کنی کند نموده می‌نمودند نمایید نمی‌کنید نماید نمی‌توانند کن گرویده کرده‌اند
پروردگارت	تواند پرداز راهبر گوی خوشگذرانان نیاورند مبر پسر خواهد_، معجزه‌ای ارجمند دشواری یهودیان بلایی منظور
آشکار	دلایل وظیفه‌ای‌ پیامبرانی می‌داند ابلاغ فرستاده‌ای هشداردهنده‌ای پیام نهان فرمانم دانای کتمان سویشان بازگردانیده رحمتی
شده	داده نشده کردن شده_است حرام است‌ حقانیت می‌ستاند کتابند کرده نمی‌کنند دیده فرستاده‌اش یافته‌اند گردیده
وی	او بازپس کوتاهی ببخشود سپس ست توبه قارون بیندیشید می‌داد برگزید می‌ورزیدید تکبر بگرداند می‌آزماید
پروردگارا	گردان جوان الها بگیر پسرک خدایا می‌گویی کاش مترس ای حسب ببخش « شده‌اند عذابش
آتش	سوزان خفت‌آور می‌بینند بهشت بد بچشید باقی‌ماندگان نخواهد_کرد چهره‌هایشان آتشند جهنم جایگاهش تکذیب‌کنندگان هیزم زودها
لی‌	نافرمان گونه می‌کردند فزونی بتانشان باشی پیامبرانی حقایق طغیان ناپسند صواب وامی‌دارد فریفته بردهند نافرمانی
شدند	انتقام آوردند فرقه کافر دیدند سپاهیانش گریبان روبرو وارد دسته‌ای بازداشت گفته‌اند پیوست بودند شهرها
هدایت	هدایتشان ناچیزی گمراه راهنمایی راهبری می‌خواست فروختند چیره رویگردان نزدیکتر یابید راهبر نیافته_بودند اطمینان آورده‌ایم
ولی	لیکن می‌گوییم کیش لی اجل شفاعت پندار نبود ببخش شب نمی‌آورند بلکه نعمت بیشترشان سزاوار
دادیم	بخشیدیم نبوت ندادیم داده_بودیم نداده_است راهبر داده‌ایم فرقان حکمت خواستیم عبرتی تورات روشنگر گردانیدیم پسری
قرآن	قرآنی شمرده بخوانی سرگذشت می‌خوانیم خجسته آیاتی روشنگر عربی کتابی پندآموزی فرستادن سوره پیام سوره‌ای
کافران	منافقان گمراهان ستمگران فاسقان بازدارنده‌ای نجات جهنم جوش واجب گناهکاران آینه کاش دردناک غمگین پر
بیرون	پدید روی بکشید آورده_می‌شوید سرزمینتان قدم می‌آوری گوساله‌ای سرزمینی تماشاگران وعده‌گاه سرعت می‌آورد زبر آیید
سخت	سهمگین خفت‌آور فرزندان هراسانند پلیدی دردناک خواهند_دید خشمی بیمی پاره بگرداند عذابی خواهد_آمد کوه سستی
پیروی	هوس‌های دنبال هجرت تسلطی ابلاغ طلب هوس خدای مکنید دفاع دارید پرهیزگاری تکذیب گرویده‌اند ؟!
آورده‌اید	گرویده مگیرید فرمانم بدارید دارید شمایند ای زنانی تجارتی ایمان انفاق شراب نگویید همسران بازپسین
هرگز	نسزد یاوری نمی‌رسانند اولادشان تغییری دیدار سودی رسد پنداشته‌اید نخواهد_بود ظلم اجل شفاعت برساند نخواهی_یافت
باره	شراب حجت نسبت سفارش قمار علمی حقیقت تردید فرزندانتان کفر شک نزاع جهاد محقق سینه
مؤمنان	کافران نیکوکاران می‌گیرد شکیبایان می‌ستاند موعود شعایر بگروید گرویده‌اند خشم پروردگارمان خریدند کجا بترسید آخرت
پروردگارتان	نعمت‌های منکرید آمده_است بازگردید پاکیزه‌ای پروا رهنمود آمرزشی نمی‌دانم شبانگاه آمده جهانیانم پاکیزه آشکارش نمی‌آورد
پروردگارشان	ورزیده مپندار بهشت‌های ایشانند ظلم آخرت لقای همیشگی شام پرداخته‌اند بی‌منت نمازشان فرستادگانش آورده می‌ترسند
راستی	حقیقت ابلاغی ای می‌گفت آمده‌ای جانشینی منم بخوان دری معجزات می‌گویی کشور شرک سرگذشت می‌خوانیم
دارند	می‌آورند داشتند دهی ریشخند نمی‌دارد ندارند مردگان دارد هدر ندارم ندارید کسانی‌اند نمی‌دارند بازگردند وصیتی
دنیا	دنیاست آخرت زندگی سرگرمی زیور پست کالای هدر درمانده‌کننده هزینه دوستانی آنید بهره‌ای خواهان خوشی
خویش	خود فضل مکن جویا وصیت جوار معبود غافل خاموش مخور پیامبرش بدان نمی‌کند گیرید پیشوایانی
زیرا	می‌پذیرد مهربان سنجیده‌کار گشایشگر داناست بیناست دوستدار شنوای بردبار رحمتگر خیانت آمرزنده می‌ترسم حکیم بخشنده
عذابی	دردناک خفت‌آور سهمگین می‌چشانیم شکنجه خواهند_داشت بخواهی ورزد فرستاده‌ایم پر درد خشمی یاورانی سختی عذاب
چنین	چندان سرکشان بچشید براستی پرهیزگاری بخوانند دروغگو همین پیروی اعتماد دعای دنیای افسانه‌های مطلب رسالت
سوگند	ستاره سخت‌ترین پاره‌ای گفته_شود روانند چنان اسماعیل آمدن مسجد خورشید فرشتگان فراز آرام هفت وای
سخن	بجز عجب کتابی نمی‌گوید راز زبان سخنی قرآنی خوانده_شود منع می‌دانی افسانه‌های باور حکایت زیانی
آمد	سویشان شد آوردند دوان نیامده دیدند فرستادیم‌ بیاور انداخت خوشگذرانان پیامبرانشان فرود هامان اینک هشداردهنده‌ای
شایسته	پسندیده کارهای هجرت کرده‌اند کرم آورده بی‌منت مؤمنانی نافرمانی شایسته‌ای بیناست وصیت آماده پیشه گویید
خواهد_بود	خواهند_داشت می‌مانند درمی‌آورد جاودانه والا خواهند_ماند می‌چشانیم مهربان سرانجامی پر شایسته‌تر آمرزش درآیید بخواهند ماندگار
وعده	بدانان تخفیف می‌دهیم دستور داده_می‌شود داده_شده_است نیکو دفع گفته‌اند داده_می‌شوند رخصت پدرانمان صرفاً خلاف آمرزش
فرا	رسد می‌توانند خوانید داوری خواهد_کرد بندگانی می‌خواهند نومید گزندی بگوید اجلشان می‌گویید یکدیگر نادانی گواهی
بلکه	اینک نصرانی بربافتد شنوایی منحرف منزهی گفتار پدرانشان پندار شریکی پدرانمان منزه پیشینیان گواهی بوده
دارد	نمی‌دارد نیکوکاران روشنی‌بخش دارند اختصاص اوست گیرید کمینگاهی دفاع نمی‌دارند آنند مانده هموست دهی نمی‌گرداند
ستم	بینوا نکردند خویشتن روا فاسقان تکذیب زشت خیانت بال طغیان کردند وامی‌دارد حمایت سرکشی نداشت
کافر	شده‌اند یهودی زیردست ایمانتان پیامبرانشان آوردند خواهیم_پرسید شدند منکر تیره‌بخت تکذیب فرستادگان شده_بودند ترسایان می‌شناسند
انجام	می‌کرده‌اند می‌دادند کرده‌اند داده‌اند کمک می‌دهید دروغ وامی‌دارد رخ دهند پند نمی‌دانید کی مبادرت گذشته
بزرگ	سهمگین فراوان بی‌منت سخت‌کیفر درجات والا پاداشی عرش فزون‌بخشی فرمانروای بلندمرتبه ستمکارتر آمرزش هولناک درد
کرده	کرده_است نموده کنیم می‌نمایند هجرت شنبه شده جزای نمی‌دارد نموده‌اند کرده‌اند مؤمنانی کرده_باشد میل کنند
پاداش	جزا پاداششان خواهد_داشت نیکویی کیفر خواهند_یافت بدانان پرنیان زودشمار تخفیف نیکوتر می‌دهیم اعمالشان خواهد_داد می‌دادند
یاری	پیشی دفع نمی‌رساند باور منحرف راهنمایی اندوهگین پروا شب نمایند دعای پنهان کسان حمایت کفایت
برخی	میانه‌رو بادیه‌نشینان درستکارند آزمودیم روزگار برتری زیردست ریاست بعضی کسانی‌اند داشتند تکبر پیشوایانی نسل گوناگون
دروغ	منکر دروغی بیم بنمایانیم دروغگو بندد حضور شمردند برده اینان چیست نشانه‌های انگاشتند تخفیف پاسخ
داد	ستدی داده_بودیم دهیم برخیزید خواب میراث همسرانتان قرار داشته_باشید سپاه داشته_باشد نشان بجویید گفتیم ندا
آورده	گرویده هجرت ورزیده شایسته پیشه کرده‌اند نموده صبر مؤمنانی شکیبایی خریدند وامی‌دارند قلبش کارهای کتاب‌ها
زنان	مردان زنانی پاکدامن ازدواج پرهیزگار همسری مسلمان طلاق مؤمن پلید یتیمان طلاقشان مردها مشرک پلیدند
آورد	می‌آورد آوازه پدید رودها حمله بازمی‌گرداند روشنایی نهاد فرود رنگ‌های آورده_می‌شوید بیازماید آوریم فرستاده_است بنگر
خدای	رحمان صفات بندد بربافتد پدیدآورنده کیست رهبری بخشایشگر حکیم رحمتگر معبودی پناه یگانه منم خدایی
تکذیب	پرداختند عاد دسته‌های گمراه فرستادیم‌ گردنکشی زدند ثمودیان پیامبرانی دنبال بادها لقای هشداردهندگان ثمود عقوبت
دارید	پروا فرمانم بدارید آورده‌اید می‌دارد نمی‌دارد دارند رکوع منکرید بترسید نمی‌دارید می‌دارند آشکارش خوانید نمایید
شد	آمد انداخت عیسی یافت خواهد_شد بودید آمدند آوردند دید مریم گریبان الفت داشت نمودیم آید
زندگی	دنیا دنیاست پست بازی کالای زیور برخورداری سرگرمی فرجام آخرت ناچیز پاکیزه‌ای کور ماییم بازپس
برایشان	کفران بخواهی اسلام دردناک احضار پرهیزگاران می‌دارید بدیشان خریدند فرجامی گرویده‌اند گرداند اعمالشان باطل شده‌اند
آخرت	دنیا لقای بهره‌ای سرای پایدار زندگی دوستانی بازپسین کالای خوشی عذابشان انگاشتند پروردگارشان فرجامی پرده‌ای
برابر	مقدر یار حفظ برنمی‌آید اختیار فرق یگانه راهنمایی اندک بپرستید یاوری نتیجه می‌گذرند هزینه ظاهر
کارهای	ناپسند گرویده هجرت شایسته مؤمنانی زکات وامی‌دارند می‌دارند شکیبایی پرهیزگاری می‌نمودند نماز کارشان منکرید ورزیده
شب	خورشید ستارگان می‌آوری روشنایی افکند قدر مردگان کشتی‌ها فراز ماه پیاپی آرام مسخر هشت اول
وحی	رسولانی بخوانی دزدی سفارش القا نسزد مردانی حکایت نیافتی همچنانکه نازل موجب گرنه‌ حقایق میانسالی
نماز	برپا رکوع شکیبایی زکات داشتن کارهای ایستند بدارید پروا ناپسند شام پرهیزگاری ورزیده بترسید هنگام
گروهی	پیوست گران دانش کتاب‌هایی روشن نداشت بسیاری نادانی کتابند درمی‌آمیزید شده‌ام سبب آفریده‌ایم می‌دانند خریدند
